analysis_type,target,fold,feature_type,candidate_features,nonempty_train_features,variance_surviving_features,correlation_surviving_features,selected_feature_count,selected_features_json,selected_feature_importances_json
strict_test_only,Total,single_group_shuffle_split,radiomics,102,102,102,39,5,"[""original_ngtdm_Strength"", ""original_shape2D_Elongation"", ""original_firstorder_90Percentile"", ""original_glrlm_ShortRunEmphasis"", ""original_glcm_Contrast""]","{""original_ngtdm_Strength"": 0.0823084395713729, ""original_shape2D_Elongation"": 0.04850843654458162, ""original_firstorder_90Percentile"": 0.043910787386542624, ""original_glrlm_ShortRunEmphasis"": 0.04076236543266971, ""original_glcm_Contrast"": 0.03348170468331226}"
strict_test_only,Total,single_group_shuffle_split,morphology,25,25,25,12,5,"[""FeretAngle"", ""Norm_Area_H^2"", ""Perim."", ""Angle"", ""Normalized_Area""]","{""FeretAngle"": 0.10707348856937716, ""Norm_Area_H^2"": 0.09405680670350124, ""Perim."": 0.09265391240275572, ""Angle"": 0.09119483207277544, ""Normalized_Area"": 0.08662526314951413}"
strict_test_only,Pain,single_group_shuffle_split,radiomics,102,102,102,39,5,"[""original_ngtdm_Strength"", ""original_firstorder_90Percentile"", ""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_glcm_MCC""]","{""original_ngtdm_Strength"": 0.06679413750642921, ""original_firstorder_90Percentile"": 0.05579073028416603, ""original_glcm_ClusterProminence"": 0.04982489064408707, ""original_glcm_Idn"": 0.04703675569151501, ""original_glcm_MCC"": 0.044461806132303106}"
strict_test_only,Pain,single_group_shuffle_split,morphology,25,25,25,12,5,"[""FeretY"", ""EI_original"", ""Area"", ""Solidity"", ""Perim.""]","{""FeretY"": 0.1562699766399371, ""EI_original"": 0.10082172858920083, ""Area"": 0.0970703447511808, ""Solidity"": 0.0881462803611947, ""Perim."": 0.08524958904961052}"
strict_test_only,Function,single_group_shuffle_split,radiomics,102,102,102,39,5,"[""original_shape2D_Elongation"", ""original_shape2D_Sphericity"", ""original_firstorder_Range"", ""original_shape2D_MajorAxisLength"", ""original_glcm_ClusterProminence""]","{""original_shape2D_Elongation"": 0.06206149511904627, ""original_shape2D_Sphericity"": 0.053265766330221495, ""original_firstorder_Range"": 0.052995854295031765, ""original_shape2D_MajorAxisLength"": 0.04861828092418902, ""original_glcm_ClusterProminence"": 0.039157918707663664}"
strict_test_only,Function,single_group_shuffle_split,morphology,25,25,25,12,5,"[""FeretAngle"", ""Normalized_Area"", ""Circ."", ""Area"", ""Norm_Area_H^2""]","{""FeretAngle"": 0.1446904487774727, ""Normalized_Area"": 0.12552576351033481, ""Circ."": 0.11144843494160855, ""Area"": 0.09465799998786642, ""Norm_Area_H^2"": 0.09049217547993574}"
strict_test_only,PainFunction,single_group_shuffle_split,radiomics,102,102,102,39,5,"[""original_glcm_Contrast"", ""original_ngtdm_Complexity"", ""original_ngtdm_Strength"", ""original_firstorder_Range"", ""original_firstorder_Minimum""]","{""original_glcm_Contrast"": 0.048222476400178654, ""original_ngtdm_Complexity"": 0.04613700407445022, ""original_ngtdm_Strength"": 0.045036439111170085, ""original_firstorder_Range"": 0.043967895940586796, ""original_firstorder_Minimum"": 0.043327408898279955}"
strict_test_only,PainFunction,single_group_shuffle_split,morphology,25,25,25,12,5,"[""FeretY"", ""Normalized_Area"", ""Angle"", ""FeretX"", ""FeretAngle""]","{""FeretY"": 0.12697711828778363, ""Normalized_Area"": 0.12334677697368236, ""Angle"": 0.11161101096327676, ""FeretX"": 0.09784947544637752, ""FeretAngle"": 0.08643202973463955}"
cross_fitted_mri_complete,Total,1,radiomics,102,102,102,42,5,"[""original_firstorder_InterquartileRange"", ""original_ngtdm_Strength"", ""original_glrlm_RunLengthNonUniformity"", ""original_firstorder_Energy"", ""original_firstorder_90Percentile""]","{""original_firstorder_InterquartileRange"": 0.04625510492892638, ""original_ngtdm_Strength"": 0.039777994914506835, ""original_glrlm_RunLengthNonUniformity"": 0.039603544490831984, ""original_firstorder_Energy"": 0.035986342920200656, ""original_firstorder_90Percentile"": 0.03582761583618203}"
cross_fitted_mri_complete,Total,1,morphology,25,25,25,12,5,"[""FeretY"", ""Normalized_Area"", ""FeretAngle"", ""EI_original"", ""FeretX""]","{""FeretY"": 0.13693564958456103, ""Normalized_Area"": 0.12165239326504622, ""FeretAngle"": 0.10720028101515591, ""EI_original"": 0.0858244691913082, ""FeretX"": 0.08084901259691603}"
