analysis_type,cohort,target,fold,candidate_features,nonempty_train_features,variance_surviving_features,correlation_surviving_features,selected_feature_count,fewer_than_5_selected,selected_features,selected_feature_importances,selected_features_json,selected_feature_importances_json
strict_test_only,mri_complete_cases,Total,single_group_shuffle_split,127,127,127,44,5,False,"['original_ngtdm_Strength', 'original_glcm_Contrast', 'Angle', 'original_glrlm_ShortRunEmphasis', 'original_firstorder_90Percentile']","{'original_ngtdm_Strength': 0.056461846718223026, 'original_glcm_Contrast': 0.04384555715574802, 'Angle': 0.03917873595999811, 'original_glrlm_ShortRunEmphasis': 0.03785091744636127, 'original_firstorder_90Percentile': 0.037604796058378714}","[""original_ngtdm_Strength"", ""original_glcm_Contrast"", ""Angle"", ""original_glrlm_ShortRunEmphasis"", ""original_firstorder_90Percentile""]","{""original_ngtdm_Strength"": 0.056461846718223026, ""original_glcm_Contrast"": 0.04384555715574802, ""Angle"": 0.03917873595999811, ""original_glrlm_ShortRunEmphasis"": 0.03785091744636127, ""original_firstorder_90Percentile"": 0.037604796058378714}"
strict_test_only,mri_complete_cases,Pain,single_group_shuffle_split,127,127,127,44,5,False,"['FeretY', 'original_firstorder_90Percentile', 'original_ngtdm_Strength', 'original_glcm_Idn', 'original_glcm_Autocorrelation']","{'FeretY': 0.05820354432342415, 'original_firstorder_90Percentile': 0.048754574164245584, 'original_ngtdm_Strength': 0.04637819269616303, 'original_glcm_Idn': 0.03989705914025015, 'original_glcm_Autocorrelation': 0.039546713301132894}","[""FeretY"", ""original_firstorder_90Percentile"", ""original_ngtdm_Strength"", ""original_glcm_Idn"", ""original_glcm_Autocorrelation""]","{""FeretY"": 0.05820354432342415, ""original_firstorder_90Percentile"": 0.048754574164245584, ""original_ngtdm_Strength"": 0.04637819269616303, ""original_glcm_Idn"": 0.03989705914025015, ""original_glcm_Autocorrelation"": 0.039546713301132894}"
strict_test_only,mri_complete_cases,Function,single_group_shuffle_split,127,127,127,44,5,False,"['FeretAngle', 'Circ.', 'original_firstorder_Range', 'Normalized_Area', 'original_glcm_Idn']","{'FeretAngle': 0.05798988577192647, 'Circ.': 0.0540008495227291, 'original_firstorder_Range': 0.04574091136116385, 'Normalized_Area': 0.038229309822102, 'original_glcm_Idn': 0.037000433742557515}","[""FeretAngle"", ""Circ."", ""original_firstorder_Range"", ""Normalized_Area"", ""original_glcm_Idn""]","{""FeretAngle"": 0.05798988577192647, ""Circ."": 0.0540008495227291, ""original_firstorder_Range"": 0.04574091136116385, ""Normalized_Area"": 0.038229309822102, ""original_glcm_Idn"": 0.037000433742557515}"
strict_test_only,mri_complete_cases,PainFunction,single_group_shuffle_split,127,127,127,44,5,False,"['original_firstorder_Range', 'FeretY', 'original_firstorder_Minimum', 'Angle', 'Normalized_Area']","{'original_firstorder_Range': 0.04594457558048698, 'FeretY': 0.044244436459069975, 'original_firstorder_Minimum': 0.040177541563873494, 'Angle': 0.03992769882404983, 'Normalized_Area': 0.03961612063758488}","[""original_firstorder_Range"", ""FeretY"", ""original_firstorder_Minimum"", ""Angle"", ""Normalized_Area""]","{""original_firstorder_Range"": 0.04594457558048698, ""FeretY"": 0.044244436459069975, ""original_firstorder_Minimum"": 0.040177541563873494, ""Angle"": 0.03992769882404983, ""Normalized_Area"": 0.03961612063758488}"
cross_fitted_mri_complete,mri_complete_cases,Total,1,127,127,127,48,5,False,"['FeretY', 'original_firstorder_InterquartileRange', 'Normalized_Area', 'FeretAngle', 'original_ngtdm_Busyness']","{'FeretY': 0.04208301077221784, 'original_firstorder_InterquartileRange': 0.0414480996812371, 'Normalized_Area': 0.03810302556305802, 'FeretAngle': 0.03635485353052227, 'original_ngtdm_Busyness': 0.03590687134180685}","[""FeretY"", ""original_firstorder_InterquartileRange"", ""Normalized_Area"", ""FeretAngle"", ""original_ngtdm_Busyness""]","{""FeretY"": 0.04208301077221784, ""original_firstorder_InterquartileRange"": 0.0414480996812371, ""Normalized_Area"": 0.03810302556305802, ""FeretAngle"": 0.03635485353052227, ""original_ngtdm_Busyness"": 0.03590687134180685}"
cross_fitted_mri_complete,mri_complete_cases,Total,2,127,127,127,45,5,False,"['FeretAngle', 'EI_original', 'original_gldm_LargeDependenceLowGrayLevelEmphasis', 'original_glcm_Autocorrelation', 'Area']","{'FeretAngle': 0.05836083304993899, 'EI_original': 0.05354494597185372, 'original_gldm_LargeDependenceLowGrayLevelEmphasis': 0.03911722495681749, 'original_glcm_Autocorrelation': 0.036975977282529486, 'Area': 0.032459095492305634}","[""FeretAngle"", ""EI_original"", ""original_gldm_LargeDependenceLowGrayLevelEmphasis"", ""original_glcm_Autocorrelation"", ""Area""]","{""FeretAngle"": 0.05836083304993899, ""EI_original"": 0.05354494597185372, ""original_gldm_LargeDependenceLowGrayLevelEmphasis"": 0.03911722495681749, ""original_glcm_Autocorrelation"": 0.036975977282529486, ""Area"": 0.032459095492305634}"
cross_fitted_mri_complete,mri_complete_cases,Total,3,127,127,127,43,5,False,"['original_firstorder_90Percentile', 'FeretAngle', 'original_glcm_ClusterShade', 'FeretY', 'EI_original']","{'original_firstorder_90Percentile': 0.04524933981616804, 'FeretAngle': 0.043976223301198054, 'original_glcm_ClusterShade': 0.043607664693262646, 'FeretY': 0.03864642707425835, 'EI_original': 0.037662011470122006}","[""original_firstorder_90Percentile"", ""FeretAngle"", ""original_glcm_ClusterShade"", ""FeretY"", ""EI_original""]","{""original_firstorder_90Percentile"": 0.04524933981616804, ""FeretAngle"": 0.043976223301198054, ""original_glcm_ClusterShade"": 0.043607664693262646, ""FeretY"": 0.03864642707425835, ""EI_original"": 0.037662011470122006}"
cross_fitted_mri_complete,mri_complete_cases,Total,4,127,127,127,43,5,False,"['original_glrlm_ShortRunEmphasis', 'original_firstorder_90Percentile', 'Circ.', 'FeretAngle', 'Angle']","{'original_glrlm_ShortRunEmphasis': 0.06758039490607082, 'original_firstorder_90Percentile': 0.06745379704927694, 'Circ.': 0.05308788173841051, 'FeretAngle': 0.043647255961582025, 'Angle': 0.041151349200437864}","[""original_glrlm_ShortRunEmphasis"", ""original_firstorder_90Percentile"", ""Circ."", ""FeretAngle"", ""Angle""]","{""original_glrlm_ShortRunEmphasis"": 0.06758039490607082, ""original_firstorder_90Percentile"": 0.06745379704927694, ""Circ."": 0.05308788173841051, ""FeretAngle"": 0.043647255961582025, ""Angle"": 0.041151349200437864}"
cross_fitted_mri_complete,mri_complete_cases,Total,5,127,127,127,42,5,False,"['FeretAngle', 'original_firstorder_90Percentile', 'Angle', 'EI_original', 'original_ngtdm_Strength']","{'FeretAngle': 0.06316660852678603, 'original_firstorder_90Percentile': 0.04246831653353683, 'Angle': 0.04073429828410794, 'EI_original': 0.038432739503418155, 'original_ngtdm_Strength': 0.033058373960087165}","[""FeretAngle"", ""original_firstorder_90Percentile"", ""Angle"", ""EI_original"", ""original_ngtdm_Strength""]","{""FeretAngle"": 0.06316660852678603, ""original_firstorder_90Percentile"": 0.04246831653353683, ""Angle"": 0.04073429828410794, ""EI_original"": 0.038432739503418155, ""original_ngtdm_Strength"": 0.033058373960087165}"
cross_fitted_mri_complete,mri_complete_cases,Pain,1,127,127,127,48,5,False,"['original_glcm_ClusterProminence', 'original_glcm_Idn', 'original_firstorder_Minimum', 'original_glrlm_GrayLevelNonUniformityNormalized', 'Angle']","{'original_glcm_ClusterProminence': 0.048883119085378145, 'original_glcm_Idn': 0.043419333615502625, 'original_firstorder_Minimum': 0.04060659665059348, 'original_glrlm_GrayLevelNonUniformityNormalized': 0.037965350211763504, 'Angle': 0.03657369667311535}","[""original_glcm_ClusterProminence"", ""original_glcm_Idn"", ""original_firstorder_Minimum"", ""original_glrlm_GrayLevelNonUniformityNormalized"", ""Angle""]","{""original_glcm_ClusterProminence"": 0.048883119085378145, ""original_glcm_Idn"": 0.043419333615502625, ""original_firstorder_Minimum"": 0.04060659665059348, ""original_glrlm_GrayLevelNonUniformityNormalized"": 0.037965350211763504, ""Angle"": 0.03657369667311535}"
